admin1_pcode,admin3_pcode,state,township,total_pop,idps,pop_minus_idps,food_secure,marginally_food_secure,moderately_food_insecure,severely_food_insecure,food_insecure_moderately_severely,moderate_food_insecure_number,severely_food_insecure_number,moderately_severely,pin_2022,total_pin2,target_2022,pc_vul,pin_2021,target_2021,hrp_target_idps_2021,hrp_target_returnees_2021,hrp_target_stateless_rakhine_2021,hrp_target_other_vulnerable_2021,hrp_target_total,hrp_version,pin_new,target_new
MMR013,MMR013037,Yangon,Ahlone,64567.03937827991,0,64567.03937827991,0.151,0.624,0.216,0.008,0.224,13946.48050570846,516.5363150262393,14463.0168207347,14463,18078.771025918373,18079,0.224,0,0,0,0,0,0,0,NA,18079,14463
MMR013,MMR013044,Yangon,Bahan,112571.62418693941,0,112571.62418693941,0.151,0.624,0.216,0.008,0.224,24315.470824378914,900.5729934955153,25216.04381787443,25216,31520.054772343035,31520,0.224,0,0,0,0,0,0,0,NA,31520,25216
MMR013,MMR013017,Yangon,Botahtaung,47707.829193478705,0,47707.829193478705,0.151,0.624,0.216,0.008,0.224,10304.8911057914,381.66263354782967,10686.55373933923,10687,13358.192174174037,13358,0.224,0,0,0,0,0,0,0,NA,13358,10687
MMR013,MMR013032,Yangon,Cocokyun,2257.670170395138,0,2257.670170395138,0.151,0.624,0.216,0.008,0.224,487.6567568053498,18.061361363161105,505.7181181685109,506,632.1476477106386,632,0.224,0,0,0,0,0,0,0,NA,632,506
MMR013,MMR013043,Yangon,Dagon,29189.115058686,0,29189.115058686,0.151,0.624,0.216,0.008,0.224,6304.848852676176,233.512920469488,6538.361773145663,6538,8172.952216432079,8173,0.22399999999999998,0,0,0,0,0,0,0,NA,8173,6538
MMR013,MMR013020,Yangon,Dagon Myothit (East),192749.1726712401,0,192749.1726712401,0.151,0.624,0.216,0.008,0.224,41633.821296987866,1541.993381369921,43175.81467835779,43176,53969.76834794724,53970,0.22400000000000003,0,0,0,0,0,0,0,NA,53970,43176
MMR013,MMR013019,Yangon,Dagon Myothit (North),237343.97727409672,0,237343.97727409672,0.151,0.624,0.216,0.008,0.224,51266.29909120489,1898.7518181927737,53165.050909397665,53165,66456.31363674709,66456,0.224,190909.0909090909,190909.0909090909,0,0,0,0,0,ierp,66456,53165
MMR013,MMR013021,Yangon,Dagon Myothit (Seikkan),194867.1931403737,0,194867.1931403737,0.151,0.624,0.216,0.008,0.224,42091.31371832072,1558.9375451229898,43650.251263443715,43650,54562.81407930465,54563,0.22400000000000003,199242.42424242425,199242.42424242425,0,0,0,0,0,ierp,54563,43650
MMR013,MMR013018,Yangon,Dagon Myothit (South),432502.10729209863,0,432502.10729209863,0.151,0.624,0.216,0.008,0.224,93420.4551750933,3460.016858336789,96880.4720334301,96880,121100.59004178763,121101,0.224,190909.0909090909,190909.0909090909,0,0,0,0,0,ierp,121101,96880
MMR013,MMR013030,Yangon,Dala,201161.9034247383,0,201161.9034247383,0.151,0.624,0.216,0.008,0.224,43450.97113974347,1609.2952273979065,45060.26636714138,45060,56325.33295892673,56325,0.22400000000000003,200589.0909090909,200589.0909090909,0,0,0,0,0,ierp,56325,45060
MMR013,MMR013014,Yangon,Dawbon,87659.28122938855,0,87659.28122938855,0.151,0.624,0.216,0.008,0.224,18934.404745547927,701.2742498351084,19635.678995383034,19636,24544.59874422879,24545,0.22399999999999998,0,0,0,0,0,0,0,NA,24545,19636
